f,t,R,X,B,rateA,rateB,rateC,tap,shift,status,angMin,angMax,Pf,Qf,Pt,Qt,MU_SF,MU_ST,MU_ANGMIN,MU_ANGMAX,branch_type,tap_min,tap_max,Pf_des,ImF,ImT
117,78,0.008161,0.042417,0.061197,356,356,356,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,77,0.008161,0.042417,0.061197,356,356,356,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,75,0.005186,0.038388,0.058748,453,453,453,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,72,0.002128,0.014029,0.022603,301,301,301,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,77,0.004628,0.027748,0.046115,324,324,324,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
102,71,0.011219,0.070744,0.115705,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,116,0.006012,0.041467,0.073636,383,383,383,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,68,0.002066,0.012789,0.020551,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,89,0.001364,0.009731,0.016243,453,453,453,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,86,0.000579,0.004112,0.007008,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,75,0.000847,0.00624,0.009544,457,457,457,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,76,0.000847,0.00626,0.009477,457,457,457,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,76,0.001591,0.011116,0.019128,453,453,453,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,103,0.003141,0.021591,0.038391,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,110,0.004545,0.03157,0.055312,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,83,0.001446,0.009917,0.017598,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,94,0.003822,0.026674,0.046154,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,79,0.007769,0.041281,0.063907,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,77,0.004463,0.030413,0.048671,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,107,0.005888,0.035062,0.052349,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,98,0.003161,0.023409,0.036165,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,78,0.001839,0.012603,0.022399,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,87,0.001715,0.009607,0.014239,301,301,301,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,78,0.003409,0.024421,0.039969,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
116,77,0.001839,0.012603,0.02239,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,96,0.005702,0.041488,0.066172,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,117,0.004587,0.024628,0.036165,314,314,314,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
123,109,0.002149,0.013327,0.022109,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,70,0.000785,0.004876,0.00726,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,69,0.000785,0.004876,0.007241,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,126,0.002413,0.027544,0.767968,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,126,0.002131,0.024319,0.67744,1386,1386,1386,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121,114,0.000913,0.0104,0.289888,1150,1150,1150,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,120,0.003119,0.035631,0.991072,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,127,0.000919,0.010512,0.292928,1150,1150,1150,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
172,155,0.01545,0.073349,0.126614,427,427,427,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
173,154,0.01545,0.073349,0.126614,427,427,427,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,154,0.01457,0.07955,0.14007,324,324,324,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,155,0.01457,0.07955,0.14007,324,324,324,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,143,0.006031,0.04401,0.069793,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,139,0.011031,0.08057,0.124127,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,154,0.005831,0.04231,0.070664,383,383,383,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,172,0.01849,0.095599,0.159139,305,305,305,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,173,0.010581,0.053,0.088475,385,385,385,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,155,0.012521,0.091359,0.145394,453,453,453,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,136,0.00506,0.036539,0.063598,305,305,305,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,142,0.01043,0.077891,0.122065,383,383,383,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,180,0.007702,0.056917,0.086733,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,179,0.002256,0.016674,0.02541,333,333,333,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,146,0.009147,0.089554,0.215196,246,246,246,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
174,168,0.00244,0.01318,0.021296,341,341,341,0,0,0,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,139,0.00355,0.02593,0.041237,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,166,0.01312,0.076219,0.116644,324,324,324,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,151,0.009341,0.05225,0.087701,305,305,305,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,134,0.006141,0.032521,0.052456,356,356,356,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
146,133,0.00438,0.03188,0.050723,453,453,453,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,146,0.000479,0.00331,0.005711,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,145,0.000479,0.00331,0.005711,404,404,404,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,142,0.010539,0.076859,0.122355,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,147,0.00469,0.034651,0.053821,383,383,383,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,140,0.006469,0.0413,0.069212,383,383,383,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,140,0.00105,0.007211,0.01028,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,158,0.006099,0.044831,0.070954,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,135,0.002211,0.01655,0.024781,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,176,0.005169,0.036979,0.058951,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,172,0.002401,0.017789,0.027588,381,381,381,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,137,0.00274,0.02696,0.70592,977,977,977,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,138,0.0017,0.01733,0.45632,915,915,915,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,161,0.00136,0.01574,0.433664,1469,1469,1469,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,150,0.00371,0.04326,1.18688,693,693,693,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
187,192,0.01882,0.137581,0.25381,299,299,299,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,202,0.02756,0.16014,0.242871,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
188,207,0.01905,0.11132,0.167851,269,269,269,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,193,0.00795,0.05919,0.090798,316,316,316,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,181,0.0018,0.021141,0.051498,633,633,633,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,203,0.00731,0.055789,0.083635,274,274,274,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,200,0.00564,0.041961,0.064372,274,274,274,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
207,182,0.0057,0.04236,0.129712,366,366,366,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,183,0.00131,0.01548,0.41152,1150,1150,1150,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,191,0.00224,0.02583,0.72352,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,186,0.0021,0.02475,0.65792,1150,1150,1150,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,198,0.0015,0.01768,0.46944,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,204,0.00133,0.01569,0.418208,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
186,205,0.00133,0.01569,0.418208,831,831,831,0,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
393,1,0.00157,0.06612,0,160,160,160,1.041,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,2,0.00157,0.06612,0,160,160,160,1.0105,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,245,0.001008,0.047273,0,300,300,300,1,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,29,0.00079,0.03678,0,426,426,426,1,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
248,3,0.001651,0.06736,0,160,160,160,1.0066,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
249,3,0.001651,0.06736,0,160,160,160,1.0154,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
276,4,0.001651,0.06901,0,160,160,160,1.0252,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
277,5,0.001651,0.06901,0,160,160,160,1.026,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,6,0.001651,0.068599,0,160,160,160,1.0512,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,6,0.001651,0.068599,0,160,160,160,1.0248,0,0,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
343,9,0.0015,0.06188,0,250,250,250,1.1116,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,10,0.001651,0.06775,0,160,160,160,1.0368,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
355,11,0.001651,0.06775,0,160,160,160,1.0365,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
356,12,0.001651,0.06775,0,160,160,160,1.0306,0,1,-360,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
