bus,bus_type,status,P,Q,fracS,fracY,fracE,gamma,Qmin,Qmax,Qinc,Qcon
257,1,1,3.197,0.65,1,0,0,0,0,0,0,0
258,1,1,3.197,0.65,1,0,0,0,0,0,0,0
259,1,1,7.992,2.47,1,0,0,0,0,0,0,0
260,1,1,4.795,0,1,0,0,0,0,0,0,0
261,1,1,8.098,1.5,1,0,0,0,0,0,0,0
263,1,1,1.279,1,1,0,0,0,0,0,0,0
264,1,1,25.574,22,1,0,0,0,0,0,0,0
265,1,1,34.097,30,1,0,0,0,0,0,0,0
266,1,1,27.704,0.8,1,0,0,0,0,0,0,0
267,1,1,1.066,0,1,0,0,0,0,0,0,0
268,1,1,9.59,0.8,1,0,0,0,0,0,0,0
269,1,1,5.967,2,1,0,0,0,0,0,0,0
270,1,1,9.057,1.5,1,0,0,0,0,0,0,0
271,1,1,6.393,0.5,1,0,0,0,0,0,0,0
272,1,1,7.885,1.85,1,0,0,0,0,0,0,0
273,1,1,0.426,0.1,1,0,0,0,0,0,0,0
274,1,1,0.213,0.06,1,0,0,0,0,0,0,0
276,1,1,11.401,5.18,1,0,0,0,0,0,0,0
278,1,1,5.328,1.4,1,0,0,0,0,0,0,0
279,1,1,2.131,0.5,1,0,0,0,0,0,0,0
280,1,1,5.328,0.5,1,0,0,0,0,0,0,0
281,1,1,5.328,1,1,0,0,0,0,0,0,0
282,1,1,5.328,1,1,0,0,0,0,0,0,0
283,1,1,14.918,12,1,0,0,0,0,0,0,0
284,1,1,37.294,33,1,0,0,0,0,0,0,0
285,1,1,1.386,0.4,1,0,0,0,0,0,0,0
287,1,1,8.525,2.9,1,0,0,0,0,0,0,0
288,1,1,7.459,2,1,0,0,0,0,0,0,0
289,1,1,6.926,0.5,1,0,0,0,0,0,0,0
290,1,1,4.795,0,1,0,0,0,0,0,0,0
291,1,1,3.729,2.5,1,0,0,0,0,0,0,0
292,1,1,2.344,0.2,1,0,0,0,0,0,0,0
293,1,1,11.402,4.1,1,0,0,0,0,0,0,0
294,1,1,8.311,1.5,1,0,0,0,0,0,0,0
295,1,1,4.902,1.51,1,0,0,0,0,0,0,0
296,1,1,1.704,1.4,1,0,0,0,0,0,0,0
297,1,1,4.582,0.5,1,0,0,0,0,0,0,0
298,1,1,7.672,0.8,1,0,0,0,0,0,0,0
299,1,1,4.262,0.7,1,0,0,0,0,0,0,0
300,1,1,6.18,2.11,1,0,0,0,0,0,0,0
301,1,1,8.205,2.53,1,0,0,0,0,0,0,0
302,1,1,8.524,0.5,1,0,0,0,0,0,0,0
304,1,1,4.049,1.5,1,0,0,0,0,0,0,0
305,1,1,7.992,2.72,1,0,0,0,0,0,0,0
306,1,1,7.779,2.4,1,0,0,0,0,0,0,0
307,1,1,13.746,4.24,1,0,0,0,0,0,0,0
308,1,1,12.254,3.78,1,0,0,0,0,0,0,0
309,1,1,14.147,9.046,1,0,0,0,0,0,0,0
310,1,1,11.759,7,1,0,0,0,0,0,0,0
311,1,1,15.573,8.3,1,0,0,0,0,0,0,0
313,1,1,10.354,5.48,1,0,0,0,0,0,0,0
314,1,1,6.18,5.15,1,0,0,0,0,0,0,0
315,1,1,8.525,1.2,1,0,0,0,0,0,0,0
316,1,1,2.131,0.5,1,0,0,0,0,0,0,0
317,1,1,4.794,1.5,1,0,0,0,0,0,0,0
318,1,1,3.996,1.25,1,0,0,0,0,0,0,0
319,1,1,6.127,1.25,1,0,0,0,0,0,0,0
320,1,1,6.926,2.5,1,0,0,0,0,0,0,0
321,1,1,8.205,2.53,1,0,0,0,0,0,0,0
322,1,1,14.598,4.51,1,0,0,0,0,0,0,0
323,1,1,12.787,1.5,1,0,0,0,0,0,0,0
324,1,1,13.959,4.76,1,0,0,0,0,0,0,0
325,1,1,5.967,1.84,1,0,0,0,0,0,0,0
326,1,1,5.967,1.84,1,0,0,0,0,0,0,0
327,1,1,7.459,1,1,0,0,0,0,0,0,0
328,1,1,13.852,3,1,0,0,0,0,0,0,0
329,1,1,9.057,2.8,1,0,0,0,0,0,0,0
330,1,1,5.328,2,1,0,0,0,0,0,0,0
331,1,1,3.197,1,1,0,0,0,0,0,0,0
332,1,1,26.852,8.29,1,0,0,0,0,0,0,0
333,1,1,7.459,1,1,0,0,0,0,0,0,0
334,1,1,2.664,0.8,1,0,0,0,0,0,0,0
335,1,1,5.86,0.8,1,0,0,0,0,0,0,0
336,1,1,5.434,0.2,1,0,0,0,0,0,0,0
337,1,1,7.352,2.27,1,0,0,0,0,0,0,0
338,1,1,7.459,2.7,1,0,0,0,0,0,0,0
339,1,1,9.59,2.7,1,0,0,0,0,0,0,0
340,1,1,9.59,2.7,1,0,0,0,0,0,0,0
341,1,1,2.664,0.5,1,0,0,0,0,0,0,0
344,1,1,11.188,4,1,0,0,0,0,0,0,0
345,1,1,11.188,3.5,1,0,0,0,0,0,0,0
347,1,1,3.729,0.5,1,0,0,0,0,0,0,0
348,1,1,5.328,1,1,0,0,0,0,0,0,0
349,1,1,6.926,0.4,1,0,0,0,0,0,0,0
350,1,1,11.614,3.59,1,0,0,0,0,0,0,0
351,1,1,7.672,1.8,1,0,0,0,0,0,0,0
353,1,1,4.262,1,1,0,0,0,0,0,0,0
355,1,1,1.066,0.3,1,0,0,0,0,0,0,0
358,1,1,6.393,1.9,1,0,0,0,0,0,0,0
359,1,1,6.926,2.5,1,0,0,0,0,0,0,0
360,1,1,9.057,1.2,1,0,0,0,0,0,0,0
363,1,1,5.861,0.8,1,0,0,0,0,0,0,0
364,1,1,4.156,0.8,1,0,0,0,0,0,0,0
365,1,1,53.277,10,1,0,0,0,0,0,0,0
366,1,1,53.277,10,1,0,0,0,0,0,0,0
367,1,1,53.277,10,1,0,0,0,0,0,0,0
368,1,1,53.277,10,1,0,0,0,0,0,0,0
370,1,1,8.524,0.8,1,0,0,0,0,0,0,0
371,1,1,17.048,1,1,0,0,0,0,0,0,0
372,1,1,4.262,1,1,0,0,0,0,0,0,0
374,1,1,11.721,3.1,1,0,0,0,0,0,0,0
375,1,1,2.664,0.7,1,0,0,0,0,0,0,0
376,1,1,2.664,0.7,1,0,0,0,0,0,0,0
377,1,1,6.393,1.5,1,0,0,0,0,0,0,0
378,1,1,6.607,0.4,1,0,0,0,0,0,0,0
379,1,1,5.86,1.2,1,0,0,0,0,0,0,0
380,1,1,4.795,0.8,1,0,0,0,0,0,0,0
381,1,1,2.131,1,1,0,0,0,0,0,0,0
382,1,1,10.655,2.1,1,0,0,0,0,0,0,0
383,1,1,7.459,1.8,1,0,0,0,0,0,0,0
384,1,1,12.254,3.5,1,0,0,0,0,0,0,0
387,1,1,2.131,0.5,1,0,0,0,0,0,0,0
388,1,1,7.779,2.8,1,0,0,0,0,0,0,0
389,1,1,11.934,3.68,1,0,0,0,0,0,0,0
390,1,1,6.394,2,1,0,0,0,0,0,0,0
391,1,1,12.36,4.94,1,0,0,0,0,0,0,0
392,1,1,2.131,0.73,1,0,0,0,0,0,0,0
395,1,1,3.729,0.3,1,0,0,0,0,0,0,0
396,1,1,1.066,0,1,0,0,0,0,0,0,0
397,1,1,4.262,1.2,1,0,0,0,0,0,0,0
398,1,1,4.262,1,1,0,0,0,0,0,0,0
400,1,1,3.836,1,1,0,0,0,0,0,0,0
401,1,1,2.065,0.92,1,0,0,0,0,0,0,0
402,1,1,4.262,1,1,0,0,0,0,0,0,0
403,1,1,3.197,0.3,1,0,0,0,0,0,0,0
404,1,1,27.172,7,1,0,0,0,0,0,0,0
405,1,1,22.909,6.601,1,0,0,0,0,0,0,0
406,1,1,7.459,1,1,0,0,0,0,0,0,0
407,1,1,6.393,1,1,0,0,0,0,0,0,0
408,1,1,7.459,1,1,0,0,0,0,0,0,0
409,1,1,5.754,1.4,1,0,0,0,0,0,0,0
410,1,1,10.229,0.5,1,0,0,0,0,0,0,0
411,1,1,6.713,0.8,1,0,0,0,0,0,0,0
412,1,1,2.557,0.5,1,0,0,0,0,0,0,0
415,1,1,11.188,1.5,1,0,0,0,0,0,0,0
416,1,1,7.459,0.2,1,0,0,0,0,0,0,0
417,1,1,6.926,0.8,1,0,0,0,0,0,0,0
418,1,1,16.516,2,1,0,0,0,0,0,0,0
419,1,1,3.197,0.8,1,0,0,0,0,0,0,0
420,1,1,5.221,0.8,1,0,0,0,0,0,0,0
421,1,1,14.918,4.2,1,0,0,0,0,0,0,0
422,1,1,14.918,4.2,1,0,0,0,0,0,0,0
423,1,1,5.328,1,1,0,0,0,0,0,0,0
424,1,1,8.737,2.7,1,0,0,0,0,0,0,0
425,1,1,8.098,1.7,1,0,0,0,0,0,0,0
426,1,1,7.459,0.499,1,0,0,0,0,0,0,0
427,1,1,8.524,0.3,1,0,0,0,0,0,0,0
428,1,1,5.328,2,1,0,0,0,0,0,0,0
429,1,1,9.91,3.06,1,0,0,0,0,0,0,0
431,1,1,7.672,1.2,1,0,0,0,0,0,0,0
432,1,1,4.688,0.3,1,0,0,0,0,0,0,0
433,1,1,6.926,2.2,1,0,0,0,0,0,0,0
434,1,1,8.311,1,1,0,0,0,0,0,0,0
435,1,1,5.541,1.71,1,0,0,0,0,0,0,0
436,1,1,5.86,2,1,0,0,0,0,0,0,0
437,1,1,4.262,1.7,1,0,0,0,0,0,0,0
438,1,1,16.516,3,1,0,0,0,0,0,0,0
440,1,1,8.525,0.5,1,0,0,0,0,0,0,0
441,1,1,2.131,0.3,1,0,0,0,0,0,0,0
442,1,1,2.664,0.4,1,0,0,0,0,0,0,0
443,1,1,4.263,1.5,1,0,0,0,0,0,0,0
444,1,1,2.664,0.3,1,0,0,0,0,0,0,0
445,1,1,2.77,0.94,1,0,0,0,0,0,0,0
446,1,1,12.467,3.85,1,0,0,0,0,0,0,0
447,1,1,4.795,0.5,1,0,0,0,0,0,0,0
448,1,1,2.557,0.8,1,0,0,0,0,0,0,0
449,1,1,6.393,1.8,1,0,0,0,0,0,0,0
451,1,1,4.476,0,1,0,0,0,0,0,0,0
452,1,1,6.819,0.4,1,0,0,0,0,0,0,0
453,1,1,3.197,0.5,1,0,0,0,0,0,0,0
454,1,1,4.262,1.5,1,0,0,0,0,0,0,0
455,1,1,14.918,4,1,0,0,0,0,0,0,0
456,1,1,1.492,0.2,1,0,0,0,0,0,0,0
457,1,1,9.59,2.4,1,0,0,0,0,0,0,0
458,1,1,7.459,1.7,1,0,0,0,0,0,0,0
459,1,1,10.016,1.8,1,0,0,0,0,0,0,0
460,1,1,7.459,0.401,1,0,0,0,0,0,0,0
461,1,1,4.262,1,1,0,0,0,0,0,0,0
462,1,1,11.188,1.5,1,0,0,0,0,0,0,0
463,1,1,6.393,3,1,0,0,0,0,0,0,0
464,1,1,6.926,1.5,1,0,0,0,0,0,0,0
465,1,1,7.459,1.6,1,0,0,0,0,0,0,0
466,1,1,12.68,5.4,1,0,0,0,0,0,0,0
467,1,1,10.656,1.2,1,0,0,0,0,0,0,0
468,1,1,6.394,0.5,1,0,0,0,0,0,0,0
469,1,1,6.18,1.91,1,0,0,0,0,0,0,0
470,1,1,2.984,1,1,0,0,0,0,0,0,0
471,1,1,4.156,1.28,1,0,0,0,0,0,0,0
472,1,1,2.025,0.1,1,0,0,0,0,0,0,0
473,1,1,3.197,0.5,1,0,0,0,0,0,0,0
474,1,1,13.319,1,1,0,0,0,0,0,0,0
475,1,1,1.066,0.5,1,0,0,0,0,0,0,0
476,1,1,1.066,0.5,1,0,0,0,0,0,0,0
477,1,1,7.992,1.5,1,0,0,0,0,0,0,0
478,1,1,2.984,0.2,1,0,0,0,0,0,0,0
479,1,1,2.344,0.5,1,0,0,0,0,0,0,0
480,1,1,12.254,5,1,0,0,0,0,0,0,0
481,1,1,16.729,5.17,1,0,0,0,0,0,0,0
482,1,1,5.86,1,1,0,0,0,0,0,0,0
483,1,1,2.131,0.5,1,0,0,0,0,0,0,0
484,1,1,2.131,0,1,0,0,0,0,0,0,0
485,1,1,4.795,0.6,1,0,0,0,0,0,0,0
486,1,1,4.475,0.6,1,0,0,0,0,0,0,0
487,1,1,5.328,1.2,1,0,0,0,0,0,0,0
488,1,1,5.647,1.3,1,0,0,0,0,0,0,0
489,1,1,19.18,7,1,0,0,0,0,0,0,0
490,1,1,7.459,4,1,0,0,0,0,0,0,0
491,1,1,3.197,0.9,1,0,0,0,0,0,0,0
492,1,1,6.393,1.8,1,0,0,0,0,0,0,0
493,1,1,3.729,0,1,0,0,0,0,0,0,0
494,1,1,17.049,4.8,1,0,0,0,0,0,0,0
495,1,1,17.049,4.8,1,0,0,0,0,0,0,0
496,1,1,24.507,6.9,1,0,0,0,0,0,0,0
497,1,1,23.762,5.58,1,0,0,0,0,0,0,0
498,1,1,2.131,1,1,0,0,0,0,0,0,0
499,1,1,6.926,2,1,0,0,0,0,0,0,0
500,1,1,5.328,0.5,1,0,0,0,0,0,0,0
501,1,1,14.917,4.2,1,0,0,0,0,0,0,0
502,1,1,24.72,6.96,1,0,0,0,0,0,0,0
503,1,1,12.254,3.45,1,0,0,0,0,0,0,0
504,1,1,12.254,3.45,1,0,0,0,0,0,0,0
505,1,1,14.066,3.3,1,0,0,0,0,0,0,0
506,1,1,3.197,1,1,0,0,0,0,0,0,0
507,1,1,26.639,7.5,1,0,0,0,0,0,0,0
508,1,1,53.277,15,1,0,0,0,0,0,0,0
509,1,1,2.131,0.501,1,0,0,0,0,0,0,0
510,1,1,2.131,0.5,1,0,0,0,0,0,0,0
511,1,1,19.925,6.79,1,0,0,0,0,0,0,0
513,1,1,2.131,1,1,0,0,0,0,0,0,0
514,1,1,3.197,1,1,0,0,0,0,0,0,0
515,1,1,7.459,1.75,1,0,0,0,0,0,0,0
516,1,1,5.328,1.25,1,0,0,0,0,0,0,0
517,1,1,2.131,0.6,1,0,0,0,0,0,0,0
519,1,1,18.115,4.25,1,0,0,0,0,0,0,0
520,1,1,10.442,2.45,1,0,0,0,0,0,0,0
521,1,1,10.442,2.45,1,0,0,0,0,0,0,0
522,1,1,8.737,1.6,1,0,0,0,0,0,0,0
523,1,1,13.853,1.4,1,0,0,0,0,0,0,0
524,1,1,21.843,5.13,1,0,0,0,0,0,0,0
525,1,1,21.844,5.13,1,0,0,0,0,0,0,0
526,1,1,14.385,3.38,1,0,0,0,0,0,0,0
527,1,1,38.359,10.8,1,0,0,0,0,0,0,0
528,1,1,13.319,3.749,1,0,0,0,0,0,0,0
529,1,1,3.197,0.5,1,0,0,0,0,0,0,0
530,1,1,5.86,1.38,1,0,0,0,0,0,0,0
531,1,1,5.86,1.38,1,0,0,0,0,0,0,0
532,1,1,20.458,5.76,1,0,0,0,0,0,0,0
533,1,1,20.458,5.76,1,0,0,0,0,0,0,0
534,1,1,33.032,9.299,1,0,0,0,0,0,0,0
535,1,1,3.943,0.2,1,0,0,0,0,0,0,0
536,1,1,12.786,5.677,1,0,0,0,0,0,0,0
537,1,1,15.127,7.3,1,0,0,0,0,0,0,0
538,1,1,10.655,3,1,0,0,0,0,0,0,0
539,1,1,10.655,3,1,0,0,0,0,0,0,0
540,1,1,15.984,3.75,1,0,0,0,0,0,0,0
541,1,1,21.844,5.13,1,0,0,0,0,0,0,0
542,1,1,21.844,5.13,1,0,0,0,0,0,0,0
543,1,1,21.311,5,1,0,0,0,0,0,0,0
544,1,1,23.655,6.66,1,0,0,0,0,0,0,0
545,1,1,38.359,10.8,1,0,0,0,0,0,0,0
546,1,1,15.45,4.35,1,0,0,0,0,0,0,0
547,1,1,9.59,2.7,1,0,0,0,0,0,0,0
548,1,1,9.59,2.7,1,0,0,0,0,0,0,0
549,1,1,28.769,6.75,1,0,0,0,0,0,0,0
550,1,1,11.295,3.18,1,0,0,0,0,0,0,0
551,1,1,36.229,10.2,1,0,0,0,0,0,0,0
553,1,1,10.656,4,1,0,0,0,0,0,0,0
554,1,1,4.262,0.5,1,0,0,0,0,0,0,0
555,1,1,11.188,0.5,1,0,0,0,0,0,0,0
556,1,1,3.729,1,1,0,0,0,0,0,0,0
559,1,1,6.062,3,1,0,0,0,0,0,0,0
560,1,1,7.142,4.5,1,0,0,0,0,0,0,0
567,1,1,4.156,0.9,1,0,0,0,0,0,0,0
568,1,1,2.132,1.5,1,0,0,0,0,0,0,0
569,1,1,2.131,0.5,1,0,0,0,0,0,0,0
570,1,1,3.197,0,1,0,0,0,0,0,0,0
571,1,1,11.721,0.5,1,0,0,0,0,0,0,0
572,1,1,6.393,0.6,1,0,0,0,0,0,0,0
573,1,1,10.655,2.3,1,0,0,0,0,0,0,0
574,1,1,8.631,3.45,1,0,0,0,0,0,0,0
576,1,1,4.795,0.9,1,0,0,0,0,0,0,0
577,1,1,1.492,0.4,1,0,0,0,0,0,0,0
578,1,1,1.279,0.3,1,0,0,0,0,0,0,0
579,1,1,6.393,1.8,1,0,0,0,0,0,0,0
580,1,1,0.213,0.06,1,0,0,0,0,0,0,0
581,1,1,5.327,2,1,0,0,0,0,0,0,0
582,1,1,9.803,0.9,1,0,0,0,0,0,0,0
583,1,1,3.197,0.99,1,0,0,0,0,0,0,0
584,1,1,2.131,1,1,0,0,0,0,0,0,0
585,1,1,5.328,0.4,1,0,0,0,0,0,0,0
586,1,1,7.459,2,1,0,0,0,0,0,0,0
588,1,1,4.347,1.12,1,0,0,0,0,0,0,0
589,1,1,2.226,1,1,0,0,0,0,0,0,0
590,1,1,6.151,1,1,0,0,0,0,0,0,0
591,1,1,10.391,2.4,1,0,0,0,0,0,0,0
592,1,1,4.898,0.5,1,0,0,0,0,0,0,0
593,1,1,11.664,1.5,1,0,0,0,0,0,0,0
595,1,1,20.036,9.512,1,0,0,0,0,0,0,0
596,1,1,4.771,1,1,0,0,0,0,0,0,0
597,1,1,3.5,2,1,0,0,0,0,0,0,0
598,1,1,9.436,2.5,1,0,0,0,0,0,0,0
599,1,1,4.028,0.8,1,0,0,0,0,0,0,0
600,1,1,4.771,0,1,0,0,0,0,0,0,0
601,1,1,6.679,0.9,1,0,0,0,0,0,0,0
602,1,1,9.967,1.4,1,0,0,0,0,0,0,0
603,1,1,2.129,1.7,1,0,0,0,0,0,0,0
604,1,1,2.439,0.3,1,0,0,0,0,0,0,0
605,1,1,25.765,4.3,1,0,0,0,0,0,0,0
606,1,1,9.542,1.5,1,0,0,0,0,0,0,0
607,1,1,5.301,0,1,0,0,0,0,0,0,0
608,1,1,5.673,2.6,1,0,0,0,0,0,0,0
609,1,1,6.997,1.8,1,0,0,0,0,0,0,0
610,1,1,14.168,1.293,1,0,0,0,0,0,0,0
611,1,1,14.168,1.293,1,0,0,0,0,0,0,0
612,1,1,6.256,0.4,1,0,0,0,0,0,0,0
615,1,1,7.211,0.4,1,0,0,0,0,0,0,0
616,1,1,3.181,0.5,1,0,0,0,0,0,0,0
619,1,1,4.241,0,1,0,0,0,0,0,0,0
620,1,1,5.301,0.2,1,0,0,0,0,0,0,0
621,1,1,7.104,1.8,1,0,0,0,0,0,0,0
622,1,1,3.971,0.34,1,0,0,0,0,0,0,0
623,1,1,2.12,0,1,0,0,0,0,0,0,0
624,1,1,6.892,1.947,1,0,0,0,0,0,0,0
625,1,1,3.181,0,1,0,0,0,0,0,0,0
626,1,1,0,-0.002,1,0,0,0,0,0,0,0
627,1,1,5.386,2.581,1,0,0,0,0,0,0,0
628,1,1,17.535,7.911,1,0,0,0,0,0,0,0
629,1,1,3.971,0.34,1,0,0,0,0,0,0,0
630,1,1,3.758,2.8,1,0,0,0,0,0,0,0
631,1,1,9.224,2.9,1,0,0,0,0,0,0,0
632,1,1,6.91,2.246,1,0,0,0,0,0,0,0
633,1,1,9.647,0.3,1,0,0,0,0,0,0,0
634,1,1,3.181,0.9,1,0,0,0,0,0,0,0
635,1,1,6.785,1.1,1,0,0,0,0,0,0,0
636,1,1,8.482,2,1,0,0,0,0,0,0,0
637,1,1,0.119,0.08,1,0,0,0,0,0,0,0
638,1,1,4.559,0.2,1,0,0,0,0,0,0,0
639,1,1,5.473,0,1,0,0,0,0,0,0,0
640,1,1,4.241,1,1,0,0,0,0,0,0,0
641,1,1,8.021,2.691,1,0,0,0,0,0,0,0
642,1,1,7.953,0,1,0,0,0,0,0,0,0
643,1,1,3.181,0,1,0,0,0,0,0,0,0
644,1,1,8.482,0,1,0,0,0,0,0,0,0
645,1,1,5.301,1,1,0,0,0,0,0,0,0
646,1,1,2.439,0.7,1,0,0,0,0,0,0,0
647,1,1,2.544,0,1,0,0,0,0,0,0,0
648,1,1,3.605,0.4,1,0,0,0,0,0,0,0
649,1,1,0.742,0,1,0,0,0,0,0,0,0
650,1,1,2.544,0.6,1,0,0,0,0,0,0,0
651,1,1,5.665,0.34,1,0,0,0,0,0,0,0
652,1,1,9.861,2.4,1,0,0,0,0,0,0,0
653,1,1,4.061,0.3,1,0,0,0,0,0,0,0
654,1,1,1.255,0.91,1,0,0,0,0,0,0,0
655,1,1,23.327,4.5,1,0,0,0,0,0,0,0
656,1,1,11.664,1,1,0,0,0,0,0,0,0
657,1,1,5.301,0,1,0,0,0,0,0,0,0
658,1,1,1.13,0.068,1,0,0,0,0,0,0,0
659,1,1,2.757,0.1,1,0,0,0,0,0,0,0
660,1,1,0.53,0,1,0,0,0,0,0,0,0
661,1,1,3.711,0.6,1,0,0,0,0,0,0,0
662,1,1,8.059,0.1,1,0,0,0,0,0,0,0
663,1,1,3.181,0,1,0,0,0,0,0,0,0
664,1,1,13,0,1,0,0,0,0,0,0,0
666,1,1,5.832,0.5,1,0,0,0,0,0,0,0
667,1,1,23.327,4.5,1,0,0,0,0,0,0,0
668,1,1,6.574,1.2,1,0,0,0,0,0,0,0
670,1,1,12.724,2.6,1,0,0,0,0,0,0,0
671,1,1,11.347,1.2,1,0,0,0,0,0,0,0
672,1,1,9.516,0.272,1,0,0,0,0,0,0,0
673,1,1,6.361,0.5,1,0,0,0,0,0,0,0
674,1,1,2.12,0.5,1,0,0,0,0,0,0,0
675,1,1,10.922,1,1,0,0,0,0,0,0,0
676,1,1,6.361,0,1,0,0,0,0,0,0,0
677,1,1,5.301,2,1,0,0,0,0,0,0,0
678,1,1,19.086,2,1,0,0,0,0,0,0,0
679,1,1,7.953,1.5,1,0,0,0,0,0,0,0
680,1,1,17.535,6.272,1,0,0,0,0,0,0,0
681,1,1,7.317,3,1,0,0,0,0,0,0,0
682,1,1,14.208,2.8,1,0,0,0,0,0,0,0
683,1,1,8.005,2.1,1,0,0,0,0,0,0,0
684,1,1,7.528,0.43,1,0,0,0,0,0,0,0
685,1,1,8.503,0.817,1,0,0,0,0,0,0,0
687,1,1,12.512,2.8,1,0,0,0,0,0,0,0
688,1,1,4.666,1.6,1,0,0,0,0,0,0,0
689,1,1,5.089,1,1,0,0,0,0,0,0,0
690,1,1,4.531,0.68,1,0,0,0,0,0,0,0
