time,load_shed,perc_load_served,lines_out,gens_out
4920,-4263256414560601e-28,1,0,1
4980,-4263256414560601e-28,1,0,1
5040,-4263256414560601e-28,1,0,1
5100,-3126388037344441e-28,1,0,1
5160,22737367544323206e-29,1,0,1
5220,22737367544323206e-29,1,0,1
5280,22737367544323206e-29,1,0,1
5340,22737367544323206e-29,1,0,1
5400,22737367544323206e-29,1,0,1
5460,22737367544323206e-29,1,0,1
5520,22737367544323206e-29,1,0,1
5580,22737367544323206e-29,1,0,1
5640,22737367544323206e-29,1,0,1
5700,22737367544323206e-29,1,0,1
5760,22737367544323206e-29,1,0,1
5820,22737367544323206e-29,1,0,1
5880,22737367544323206e-29,1,0,1
5940,22737367544323206e-29,1,0,1
6000,22737367544323206e-29,1,0,1
6060,22737367544323206e-29,1,0,1
6120,22737367544323206e-29,1,0,1
6180,22737367544323206e-29,1,0,1
6240,22737367544323206e-29,1,0,1
6300,22737367544323206e-29,1,0,1
6360,22737367544323206e-29,1,0,1
6420,22737367544323206e-29,1,0,1
6480,22737367544323206e-29,1,0,1
6540,22737367544323206e-29,1,0,1
6600,22737367544323206e-29,1,0,1
6660,22737367544323206e-29,1,0,1
6720,22737367544323206e-29,1,0,1
6780,22737367544323206e-29,1,0,1
6840,22737367544323206e-29,1,0,1
6900,22737367544323206e-29,1,0,1
6960,22737367544323206e-29,1,0,1
7020,22737367544323206e-29,1,0,1
7080,22737367544323206e-29,1,0,1
7140,22737367544323206e-29,1,0,1
7200,22737367544323206e-29,1,0,1
7260,22737367544323206e-29,1,0,1
7320,22737367544323206e-29,1,0,1
7380,22737367544323206e-29,1,0,1
7440,22737367544323206e-29,1,0,1
7500,22737367544323206e-29,1,0,1
7560,22737367544323206e-29,1,0,1
7620,22737367544323206e-29,1,0,1
7680,22737367544323206e-29,1,0,1
7740,22737367544323206e-29,1,0,1
7800,22737367544323206e-29,1,0,1
7860,22737367544323206e-29,1,0,1
7920,22737367544323206e-29,1,0,1
7980,22737367544323206e-29,1,0,1
8040,22737367544323206e-29,1,0,1
8100,22737367544323206e-29,1,0,1
8160,22737367544323206e-29,1,0,1
8220,22737367544323206e-29,1,0,1
8280,22737367544323206e-29,1,0,1
8340,22737367544323206e-29,1,0,1
8400,22737367544323206e-29,1,0,1
8460,22737367544323206e-29,1,0,1
8520,22737367544323206e-29,1,0,1
8580,22737367544323206e-29,1,0,1
8640,22737367544323206e-29,1,0,1
8700,22737367544323206e-29,1,0,1
8760,22737367544323206e-29,1,0,0
8820,22737367544323206e-29,1,0,0
8880,22737367544323206e-29,1,0,0
8940,22737367544323206e-29,1,0,0
9000,22737367544323206e-29,1,0,0
9060,22737367544323206e-29,1,0,0
9120,22737367544323206e-29,1,0,0
9180,22737367544323206e-29,1,0,0
9240,22737367544323206e-29,1,0,0
9300,22737367544323206e-29,1,0,0
9360,22737367544323206e-29,1,0,0
9420,22737367544323206e-29,1,0,0
9480,22737367544323206e-29,1,0,0
9540,22737367544323206e-29,1,0,0
9600,22737367544323206e-29,1,0,0
9660,22737367544323206e-29,1,0,0
9720,22737367544323206e-29,1,0,0
9780,22737367544323206e-29,1,0,0
9840,22737367544323206e-29,1,0,0
9900,22737367544323206e-29,1,0,0
9960,22737367544323206e-29,1,0,0
10020,22737367544323206e-29,1,0,0
10080,22737367544323206e-29,1,0,0
10140,22737367544323206e-29,1,0,0
10200,22737367544323206e-29,1,0,0
10260,22737367544323206e-29,1,0,0
10320,22737367544323206e-29,1,0,0
10380,22737367544323206e-29,1,0,0
10440,22737367544323206e-29,1,0,0
10500,22737367544323206e-29,1,0,0
10560,22737367544323206e-29,1,0,0
10620,22737367544323206e-29,1,0,0
10680,22737367544323206e-29,1,0,0
10740,22737367544323206e-29,1,0,0
10800,22737367544323206e-29,1,0,0
10860,22737367544323206e-29,1,0,0
10920,22737367544323206e-29,1,0,0
10980,22737367544323206e-29,1,0,0
11040,22737367544323206e-29,1,0,0
11100,22737367544323206e-29,1,0,0
11160,22737367544323206e-29,1,0,0
11220,22737367544323206e-29,1,0,0
11280,22737367544323206e-29,1,0,0
11340,22737367544323206e-29,1,0,0
11400,22737367544323206e-29,1,0,0
11460,22737367544323206e-29,1,0,0
11520,22737367544323206e-29,1,0,0
11580,22737367544323206e-29,1,0,0
11640,22737367544323206e-29,1,0,0
11700,22737367544323206e-29,1,0,0
11760,22737367544323206e-29,1,0,0
11820,22737367544323206e-29,1,0,0
11880,22737367544323206e-29,1,0,0
11940,22737367544323206e-29,1,0,0
12000,22737367544323206e-29,1,0,0
12060,22737367544323206e-29,1,0,0
12120,22737367544323206e-29,1,0,0
12180,22737367544323206e-29,1,0,0
12240,22737367544323206e-29,1,0,0
12300,22737367544323206e-29,1,0,0
12360,22737367544323206e-29,1,0,0
12420,22737367544323206e-29,1,0,0
12480,22737367544323206e-29,1,0,0
12540,22737367544323206e-29,1,0,0
12600,22737367544323206e-29,1,0,0
12660,22737367544323206e-29,1,0,0
12720,22737367544323206e-29,1,0,0
12780,22737367544323206e-29,1,0,0
12840,22737367544323206e-29,1,0,0
12900,22737367544323206e-29,1,0,0
12960,22737367544323206e-29,1,0,0
13020,22737367544323206e-29,1,0,0
13080,22737367544323206e-29,1,0,0
